MCCD1P2	MCCD1P2	Gene Expression
DDX39BP2	DDX39BP2	Gene Expression
HCG9	HCG9	Gene Expression
HLA-A	HLA-A	Gene Expression
HLA-K	HLA-K	Gene Expression
HCG4B	HCG4B	Gene Expression
DDX39BP1	DDX39BP1	Gene Expression
HLA-H	HLA-H	Gene Expression
HCP5B	HCP5B	Gene Expression
LOC105375010	LOC105375010	Gene Expression
HCGVIII-2	HCGVIII-2	Gene Expression
HLA-G	HLA-G	Gene Expression
MICG	MICG	Gene Expression
RPL7AP7	RPL7AP7	Gene Expression
HLA-P	HLA-P	Gene Expression
HCG4P9	HCG4P9	Gene Expression
HLA-V	HLA-V	Gene Expression
HCG4	HCG4	Gene Expression
LOC353010	LOC353010	Gene Expression
LOC105379663	LOC105379663	Gene Expression
IFITM4P	IFITM4P	Gene Expression
MICE	MICE	Gene Expression
HLA-F-AS1	HLA-F-AS1	Gene Expression
HLA-F	HLA-F	Gene Expression
ZDHHC20P1	ZDHHC20P1	Gene Expression
ZFP57	ZFP57	Gene Expression
MOG	MOG	Gene Expression
SUMO2P1	SUMO2P1	Gene Expression
GABBR1	GABBR1	Gene Expression
GPR53P	GPR53P	Gene Expression
LINC01015	LINC01015	Gene Expression
LINC02829	LINC02829	Gene Expression
RPS17P1	RPS17P1	Gene Expression
MAS1L	MAS1L	Gene Expression
LOC105375008	LOC105375008	Gene Expression
MAS1LP1	MAS1LP1	Gene Expression
UBDP1	UBDP1	Gene Expression
OR2H1	OR2H1	Gene Expression
LOC105379641	LOC105379641	Gene Expression
OR10C1	OR10C1	Gene Expression
OR11A1	OR11A1	Gene Expression
OR12D1	OR12D1	Gene Expression
OR12D2	OR12D2	Gene Expression
OR12D3	OR12D3	Gene Expression
OR5V1	OR5V1	Gene Expression
DDX6P1	DDX6P1	Gene Expression
OR14J1	OR14J1	Gene Expression
OR2B4P	OR2B4P	Gene Expression
LOC105375005	LOC105375005	Gene Expression
OR2U2P	OR2U2P	Gene Expression
OR2U1P	OR2U1P	Gene Expression
OR2G1P	OR2G1P	Gene Expression
LOC101929006	LOC101929006	Gene Expression
OR2H4P	OR2H4P	Gene Expression
OR2J4P	OR2J4P	Gene Expression
OR2J2	OR2J2	Gene Expression
OR2N1P	OR2N1P	Gene Expression
OR2J3	OR2J3	Gene Expression
OR2J1	OR2J1	Gene Expression
OR2B3	OR2B3	Gene Expression
SAR1AP1	SAR1AP1	Gene Expression
OR2P1P	OR2P1P	Gene Expression
OR2W1	OR2W1	Gene Expression
LOC100129636	LOC100129636	Gene Expression
OR2AD1P	OR2AD1P	Gene Expression
LOC105375002	LOC105375002	Gene Expression
ZNF311	ZNF311	Gene Expression
TRL-AAG3-1	TRL-AAG3-1	Gene Expression
HCG15	HCG15	Gene Expression
TRE-CTC1-6	TRE-CTC1-6	Gene Expression
TRF-GAA1-2	TRF-GAA1-2	Gene Expression
RN7SL471P	RN7SL471P	Gene Expression
KRT18P1	KRT18P1	Gene Expression
TRM-CAT3-2	TRM-CAT3-2	Gene Expression
TRK-TTT3-3	TRK-TTT3-3	Gene Expression
TRM-CAT3-1	TRM-CAT3-1	Gene Expression
LINC01556	LINC01556	Gene Expression
TRL-AAG2-2	TRL-AAG2-2	Gene Expression
TRQ-CTG1-3	TRQ-CTG1-3	Gene Expression
TRL-CAA1-2	TRL-CAA1-2	Gene Expression
RNU6-930P	RNU6-930P	Gene Expression
TRIM27	TRIM27	Gene Expression
